ont	label	descendants	ancestors
CL:0000775	Neutrophils		
CL:0000576	Monocytes		
CL:0000050	MEP		
CL:0000624	CD4+ T-cells	CD4+ Tcm;CD4+ Tem	
CL:0000815	Tregs		
CL:0000904	CD4+ Tcm		CD4+ T-cells
CL:0000905	CD4+ Tem		CD4+ T-cells
CL:0000907	CD8+ Tcm		CD8+ T-cells
CL:0000913	CD8+ Tem		CD8+ T-cells
CL:0000623	NK cells		
CL:0000788	naive B-cells		
CL:0000787	Memory B-cells	Class-switched memory B-cells	
CL:0000972	Class-switched memory B-cells		Memory B-cells
CL:0000037	HSC		
CL:0000837	MPP		
CL:0000051	CLP		
CL:0000557	GMP		
CL:0000235	Macrophages	Macrophages M1;Macrophages M2	
CL:0000625	CD8+ T-cells	CD8+ Tcm;CD8+ Tem	
CL:0000232	Erythrocytes		
CL:0000556	Megakaryocytes		
CL:0000049	CMP		
CL:0000863	Macrophages M1		Macrophages
CL:0000890	Macrophages M2		Macrophages
CL:0000115	Endothelial cells	mv Endothelial cells	Epithelial cells
CL:0000451	DC		
CL:0000771	Eosinophils		
CL:0000786	Plasma cells		
CL:0000138	Chondrocytes		
CL:0000057	Fibroblasts		
CL:0000192	Smooth muscle		Myocytes
CL:0000066	Epithelial cells	Endothelial cells;Keratinocytes;mv Endothelial cells	
CL:0000148	Melanocytes		
CL:0000188	Skeletal muscle		
CL:0000312	Keratinocytes		Epithelial cells
CL:2000008	mv Endothelial cells		Endothelial cells;Epithelial cells
CL:0000187	Myocytes	Smooth muscle	
CL:0000136	Adipocytes		
CL:0000540	Neurons		
CL:0000669	Pericytes	Mesangial cells	
NA	Preadipocytes		
CL:0000127	Astrocytes		
CL:0000650	Mesangial cells		Pericytes
